,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
34,38493982,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,10/17/1986,119,7.0,Paul Newman,62495,Walter Tevis,1986,278.94189855072466,1986-10-17
37,-155132,6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,2/21/1986,97,7.3,Rutger Hauer,36191,Eric Red,1986,-2.585533333333334,1986-02-21
38,27499651,10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,3/26/1986,91,6.3,Tom Hanks,41278,David Giler,1986,274.99651,1986-03-26
39,16472057,3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,8/1/1986,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986,549.0685666666667,1986-08-01
40,-10697221,25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,11/26/1986,117,6.6,Harrison Ford,23076,Paul Theroux,1986,-42.788884,1986-11-26
42,-1173477,4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,11/7/1986,112,7.1,Gary Oldman,25032,Alex Cox,1986,-29.336925,1986-11-07
43,-5288780,10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,12/19/1986,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,-52.8878,1986-12-19
44,-3239000,4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,10/24/1986,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,-71.97777777777779,1986-10-24
45,23382841,18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/1986,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,129.90467222222222,1986-10-10
46,21996665,19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,5/23/1986,91,5.7,JoBeth Williams,20669,Mark Victor,1986,115.77192105263157,1986-05-23
47,4350815,1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,1/17/1986,82,4.3,Michael Moriarty,7569,Ed Naha,1986,395.5286363636364,1986-01-17
50,498939,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,9/7/1990,83,7.0,Michael Rooker,25367,Richard Fire,1986,449.4945945945946,1990-09-07
51,-8302261,18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,6/6/1986,107,5.6,Kate Capshaw,11484,Clifford Green,1986,-46.123672222222226,1986-06-06
52,33684041,6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,3/14/1986,107,8.0,Mia Farrow,56988,Woody Allen,1986,526.3131406250001,1986-03-14
53,24600000,14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,7/2/1986,74,7.2,Vincent Price,36539,Peter Young,1986,175.71428571428572,1986-07-02
54,7709459,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6/6/1986,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,90.69951764705881,1986-06-06
55,-150353,6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8/8/1986,84,7.3,Orson Welles,33609,Ron Friedman,1986,-2.5058833333333363,1986-08-08
57,-4408634,5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,8/22/1986,88,6.8,Jason Lively,16077,Fred Dekker,1986,-88.17268,1986-08-22
58,-7115337,12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,6/6/1986,100,5.5,Karen Black,5878,Richard Blake,1986,-59.294475000000006,1986-06-06
60,22607524,6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,2/27/1987,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986,376.7920666666667,1987-02-27
62,-4153000,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,4/18/1986,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,-63.892307692307696,1986-04-18
66,5314289,20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,7/25/1986,108,6.1,Meryl Streep,7570,Nora Ephron,1986,26.571444999999994,1986-07-25
67,-13046268,15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,1/17/1986,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,-86.97512,1986-01-17
68,5768900,12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,2/14/1986,125,5.6,Chuck Norris,15819,James Bruner,1986,48.07416666666666,1986-02-14
74,18611610,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,3/14/1986,112,6.2,Michael Keaton,9965,Edwin Blum,1986,103.39783333333332,1986-03-14
77,6962502,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,8/8/1986,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,3978.572571428571,1986-08-08
79,-3834088,8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,4/11/1986,109,6.3,Stephen Lang,2297,Leo Garen,1986,-44.06997701149425,1986-04-11
82,3945534,12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,8/15/1986,88,5.6,John Candy,9040,Brian Grazer,1986,32.87945000000001,1986-08-15
83,336000,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,10/30/1986,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,30.545454545454543,1986-10-30
84,10603715,10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,2/7/1986,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,106.03715,1986-02-07
87,-14100000,18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,6/13/1986,117,6.1,John Lithgow,4666,Marshall Brickman,1986,-78.33333333333333,1986-06-13
88,7947763,5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,3/28/1986,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,158.95526,1986-03-28
89,-23420740,25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,11/26/1986,94,4.8,Richard Jordan,3397,Walon Green,1986,-93.68296000000001,1986-11-26
92,-38358175,40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,7/18/1986,121,6.1,Walter Matthau,6596,John Brownjohn,1986,-95.8954375,1986-07-18
94,11458229,10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,10/3/1986,104,6.2,Burt Lancaster,5584,James Orr,1986,114.58229000000001,1986-10-03
97,-4209069,12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,1/31/1986,104,5.9,Robin Williams,5523,Ron Shelton,1986,-35.075575,1986-01-31
98,5369373,2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,3/13/1987,98,5.7,Todd Allen,4744,Kevin Tenney,1986,268.46865,1987-03-13
99,48134225,14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,1/31/1986,103,6.1,Nick Nolte,13569,Ren� Fauchois,1986,343.81589285714284,1986-01-31
100,-8222354,8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,2/7/1986,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986,-96.73357647058823,1986-02-07
104,-16694886,18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,4/25/1986,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,-92.74936666666666,1986-04-25
111,3834302,8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,11/21/1986,104,5.0,Chuck Norris,4752,Robert Gosnell,1986,47.92877499999999,1986-11-21
113,1641117,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,7/18/1986,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,49.730818181818194,1986-07-18
117,-2691479,15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,7/11/1986,96,4.9,Robin Williams,5049,Harry Shearer,1986,-17.94319333333333,1986-07-11
118,9851591,40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,6/20/1986,116,5.9,Robert Redford,8374,Ivan Reitman,1986,24.628977499999994,1986-06-20
121,-4524534,13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,4/18/1986,100,5.6,Danny DeVito,4573,George Gallo,1986,-34.804107692307696,1986-04-18
126,-14684317,17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,8/29/1986,97,3.1,Sean Penn,4339,John Kohn,1986,-86.37833529411765,1986-08-29
127,-12200000,16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,1/31/1986,111,5.7,Richard Gere,2287,David Himmelstein,1986,-76.25,1986-01-31
129,2905500,20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,1/23/1987,105,6.4,Diane Keaton,3079,Beth Henley,1986,14.527500000000003,1987-01-23
