,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
767,738015,19000000,Amblin Entertainment,USA,Gary David Goldberg,Drama,19738015,Dad,PG,11/10/1989,117,6.2,Jack Lemmon,3891,William Wharton,1989,3.8842894736842215,1989-11-10
771,9030000,13000000,Paramount Pictures,USA,Joel Schumacher,Comedy,22030000,Cousins,PG-13,2/10/1989,109,6.3,Ted Danson,3667,Jean-Charles Tacchella,1989,69.46153846153847,1989-02-10
772,-3080347,5000000,Allied Vision,USA,Philippe Mora,Biography,1919653,Communion,R,11/10/1989,106,5.7,Christopher Walken,4489,Whitley Strieber,1989,-61.60694,1989-11-10
774,-2129468,3000000,Great American Films Limited Partnership,Canada,Bob Balaban,Comedy,870532,Parents,R,1/27/1989,81,6.2,Randy Quaid,4968,Christopher Hawthorne,1989,-70.98226666666667,1989-01-27
775,-4882537,5000000,Aspen Film Society,USA,Christopher Guest,Comedy,117463,The Big Picture,PG-13,12/15/1989,100,6.3,Kevin Bacon,4057,Michael Varhol,1989,-97.65074,1989-12-15
776,-7352781,18000000,Orion Pictures,USA,Andrew Davis,Action,10647219,The Package,R,8/25/1989,108,6.4,Gene Hackman,6979,John Bishop,1989,-40.84878333333334,1989-08-25
781,-13026715,18000000,Paramount Pictures,USA,Joe Pytka,Comedy,4973285,Let It Ride,PG-13,8/18/1989,90,6.9,Richard Dreyfuss,4382,Jay Cronley,1989,-72.37063888888888,1989-08-18
783,-14468029,18000000,Warner Bros.,USA,Norman Jewison,Drama,3531971,In Country,R,9/29/1989,120,5.9,Emily Lloyd,2385,Bobbie Ann Mason,1989,-80.37793888888889,1989-09-29
784,1609953,3000000,American Playhouse,USA,Norman Ren�,Drama,4609953,Longtime Companion,R,5/1/1990,96,7.5,Stephen Caffrey,4560,Craig Lucas,1989,53.665099999999995,1990-05-01
787,-3716306,4000000,Incorporated Television Company (ITC),USA,John Dahl,Action,283694,Kill Me Again,R,10/27/1989,94,6.3,Val Kilmer,3576,John Dahl,1989,-92.90765,1989-10-27
788,-1507034,2300000,Lorimar Film Entertainment,USA,Michael Herz,Action,792966,The Toxic Avenger Part II,R,2/24/1989,102,5.1,Ron Fazio,5067,Lloyd Kaufman,1989,-65.52321739130436,1989-02-24
790,-2456251,2500000,Larco Productions,USA,Larry Cohen,Comedy,43749,Wicked Stepmother,PG-13,2/3/1989,90,4.1,Bette Davis,1370,Larry Cohen,1989,-98.25004,1989-02-03
796,19796,1500000,Incorporated Television Company (ITC),UK,Jeff Burr,Horror,1519796,Stepfather II,R,11/3/1989,93,5.6,Terry O'Quinn,2468,Carolyn Lefcourt,1989,1.3197333333333283,1989-11-03
803,471541,75000,Action Features,USA,Hal Hartley,Comedy,546541,The Unbelievable Truth,R,11/8/1990,90,7.5,Adrienne Shelly,3877,Action Features,1989,628.7213333333334,1990-11-08
813,-9239384,11500000,TriStar Pictures,USA,Richard Baskin,Drama,2260616,Sing,PG-13,3/31/1989,98,6.8,Lorraine Bracco,597,Dean Pitchford,1989,-80.34246956521739,1989-03-31
815,-30425744,34000000,Columbia Pictures Corporation,USA,Luis Puenzo,Adventure,3574256,Old Gringo,R,10/6/1989,100,5.8,Jane Fonda,1556,Carlos Fuentes,1989,-89.48748235294117,1989-10-06
816,-17579083,20000000,Cine Location Services,USA,John Milius,Action,2420917,Farewell to the King,PG-13,3/3/1989,117,6.3,Nick Nolte,2282,Pierre Schoendoerffer,1989,-87.895415,1989-03-03
818,-15932122,16000000,AM/PM Entertainment,USA,Robert Ellis Miller,Adventure,67878,Brenda Starr,PG,4/15/1992,93,4.6,Brooke Shields,856,Noreen Stone,1989,-99.5757625,1992-04-15
828,-8067387,14000000,Columbia Pictures Corporation,USA,Jonathan Kaplan,Drama,5932613,Immediate Family,PG-13,10/27/1989,95,6.1,Glenn Close,1235,Barbara Benedek,1989,-57.624192857142866,1989-10-27
841,-13439068,17000000,Columbia Pictures Corporation,USA,Michael Crichton,Crime,3560932,Physical Evidence,R,1/27/1989,99,5.1,Burt Reynolds,1238,Steve Ransohoff,1989,-79.05334117647058,1989-01-27
843,-3956329,4000000,American Playhouse Theatrical Films,USA,Howard Brookner,Comedy,43671,Bloodhounds of Broadway,PG,11/3/1989,93,5.7,Josef Sommer,1021,Howard Brookner,1989,-98.908225,1989-11-03
846,3153677,5000000,Silver Screen Partners III,USA,Jeff Blyth,Adventure,8153677,Cheetah,G,8/18/1989,83,6.1,Keith Coogan,703,Alan Caillou,1989,63.07354000000001,1989-08-18
862,-4122382,6000000,"Samuel Goldwyn Company, The",USA,Bill Forsyth,Adventure,1877618,Breaking In,R,10/13/1989,94,6.1,Burt Reynolds,1209,John Sayles,1989,-68.70636666666667,1989-10-13
880,35490000,26000000,Columbia Pictures Corporation,USA,Joel Schumacher,Drama,61490000,Flatliners,R,8/10/1990,115,6.6,Kiefer Sutherland,67242,Peter Filardi,1990,136.50000000000003,1990-08-10
881,21836394,25000000,Warner Bros.,USA,Martin Scorsese,Crime,46836394,Goodfellas,R,9/21/1990,146,8.7,Robert De Niro,802599,Nicholas Pileggi,1990,87.345576,1990-09-21
883,41276872,20000000,Castle Rock Entertainment,USA,Rob Reiner,Crime,61276872,Misery,R,11/30/1990,107,7.8,James Caan,147278,Stephen King,1990,206.38436,1990-11-30
884,54394840,65000000,Carolco Pictures,USA,Paul Verhoeven,Action,119394840,El vengador del futuro,R,6/1/1990,113,7.5,Arnold Schwarzenegger,257253,Philip K. Dick,1990,83.68436923076924,1990-06-01
885,164406268,14000000,Touchstone Pictures,USA,Garry Marshall,Comedy,178406268,Pretty Woman,R,3/23/1990,119,7.0,Richard Gere,233319,J.F. Lawton,1990,1174.3304857142857,1990-03-23
886,267761243,18000000,Hughes Entertainment,USA,Chris Columbus,Comedy,285761243,Home Alone,PG,11/16/1990,103,7.5,Macaulay Culkin,350395,John Hughes,1990,1487.5624611111111,1990-11-16
887,36362352,20000000,Twentieth Century Fox Film Corporation,USA,Tim Burton,Drama,56362352,Edward Scissorhands,PG-13,12/14/1990,105,7.9,Johnny Depp,384404,Tim Burton,1990,181.81176,1990-12-14
888,12666062,54000000,Paramount Pictures,USA,Francis Ford Coppola,Crime,66666062,The Godfather: Part III,R,12/25/1990,162,7.6,Al Pacino,295736,Mario Puzo,1990,23.455670370370374,1990-12-25
889,162208848,22000000,Tig Productions,USA,Kevin Costner,Adventure,184208848,Dances with Wolves,PG-13,11/21/1990,181,8.0,Kevin Costner,201166,Michael Blake,1990,737.3129454545455,1990-11-21
890,92012643,30000000,Paramount Pictures,USA,John McTiernan,Action,122012643,The Hunt for Red October,PG,3/2/1990,135,7.6,Sean Connery,152517,Tom Clancy,1990,306.70881,1990-03-02
891,15501605,13000000,Universal Pictures,USA,John Lafia,Horror,28501605,Child's Play 2,R,11/9/1990,84,5.8,Alex Vincent,34608,Don Mancini,1990,119.24311538461541,1990-11-09
892,195631306,22000000,Paramount Pictures,USA,Jerry Zucker,Drama,217631306,Ghost,PG-13,7/13/1990,127,7.0,Patrick Swayze,164846,Bruce Joel Rubin,1990,889.2332090909091,1990-07-13
893,5667084,11000000,Universal Pictures,USA,Ron Underwood,Comedy,16667084,Tremors,PG-13,1/19/1990,96,7.1,Kevin Bacon,98220,S.S. Wilson,1990,51.51894545454545,1990-01-19
894,14404261,25000000,Warner Bros.,USA,John Patrick Shanley,Comedy,39404261,Joe Versus the Volcano,PG,3/9/1990,102,5.7,Tom Hanks,29752,John Patrick Shanley,1990,57.61704400000001,1990-03-09
895,5060247,9500000,PolyGram Filmed Entertainment,USA,David Lynch,Comedy,14560247,Wild at Heart,R,8/17/1990,125,7.2,Nicolas Cage,67407,Barry Gifford,1990,53.26575789473684,1990-08-17
897,1118851,25000000,Carolco Pictures,USA,Adrian Lyne,Drama,26118851,Jacob's Ladder,R,11/2/1990,113,7.5,Tim Robbins,81979,Bruce Joel Rubin,1990,4.475403999999994,1990-11-02
898,121765915,13500000,888 Productions,USA,Steve Barron,Action,135265915,Teenage Mutant Ninja Turtles,PG,3/30/1990,93,6.7,Judith Hoag,73504,Kevin Eastman,1990,901.9697407407408,1990-03-30
899,22208180,31000000,Hollywood Pictures,USA,Frank Marshall,Comedy,53208180,Arachnophobia,PG-13,7/18/1990,103,6.4,Jeff Daniels,53559,Don Jakoby,1990,71.63929032258065,1990-07-18
900,47540947,70000000,Twentieth Century Fox Film Corporation,USA,Renny Harlin,Action,117540947,Die Hard 2,R,7/4/1990,124,7.1,Bruce Willis,288815,Walter Wager,1990,67.91563857142857,1990-07-04
901,56738726,47000000,Touchstone Pictures,USA,Warren Beatty,Action,103738726,Dick Tracy,PG,6/15/1990,105,6.1,Warren Beatty,50318,Chester Gould,1990,120.72069361702127,1990-06-15
904,43470900,10000000,Universal Pictures,USA,Dennis Dugan,Comedy,53470900,Problem Child,PG,7/27/1990,81,5.3,Michael Oliver,24008,Scott Alexander,1990,434.70899999999995,1990-07-27
905,22670733,60000000,Don Simpson/Jerry Bruckheimer Films,USA,Tony Scott,Action,82670733,Days of Thunder,PG-13,6/27/1990,107,5.9,Tom Cruise,65262,Robert Towne,1990,37.784555,1990-06-27
906,-2733657,11000000,Universal Pictures,USA,John Waters,Comedy,8266343,Cry-Baby,PG-13,4/6/1990,85,6.5,Johnny Depp,47001,John Waters,1990,-24.85142727272728,1990-04-06
907,47727583,40000000,Universal Pictures,USA,Robert Zemeckis,Adventure,87727583,Back to the Future Part III,PG,5/25/1990,118,7.4,Michael J. Fox,316774,Robert Zemeckis,1990,119.31895749999998,1990-05-25
908,-1053642,42000000,United Artists,USA,John G. Avildsen,Drama,40946358,Rocky V,PG-13,11/16/1990,104,5.2,Sylvester Stallone,102375,Sylvester Stallone,1990,-2.5086714285714296,1990-11-16
909,65457688,26000000,Imagine Entertainment,USA,Ivan Reitman,Comedy,91457688,Kindergarten Cop,PG-13,12/21/1990,111,6.1,Arnold Schwarzenegger,115309,Murray Salem,1990,251.76033846153848,1990-12-21
910,-4330587,35000000,Davis Entertainment,USA,Stephen Hopkins,Action,30669413,Predator 2,R,11/21/1990,108,6.2,Danny Glover,117081,Jim Thomas,1990,-12.373105714285714,1990-11-21
911,-18626473,36000000,Warner Bros.,USA,George Miller,Adventure,17373527,The NeverEnding Story II: The Next Chapter,PG,2/8/1991,90,5.1,Jonathan Brandis,19726,Karin Howard,1990,-51.740202777777775,1991-02-08
912,10681173,35000000,Orion Pictures,USA,Irvin Kershner,Action,45681173,RoboCop 2,R,6/22/1990,117,5.8,Peter Weller,68761,Edward Neumeier,1990,30.517637142857133,1990-06-22
913,-8919591,14000000,Circle Films,USA,Joel Coen,Crime,5080409,Miller's Crossing,R,10/5/1990,115,7.8,Gabriel Byrne,110371,Joel Coen,1990,-63.71136428571429,1990-10-05
915,-18586498,40000000,Twentieth Century Fox Film Corporation,USA,Renny Harlin,Action,21413502,The Adventures of Ford Fairlane,R,7/11/1990,104,6.3,Andrew Dice Clay,15191,Daniel Waters,1990,-46.466244999999994,1990-07-11
917,17878502,16000000,Renaissance Pictures,USA,Sam Raimi,Action,33878502,Darkman,R,8/24/1990,96,6.4,Liam Neeson,50571,Sam Raimi,1990,111.74063749999999,1990-08-24
918,64303188,22000000,Warner Bros.,USA,Alan J. Pakula,Mystery,86303188,Presumed Innocent,R,7/27/1990,127,6.9,Harrison Ford,31512,Scott Turow,1990,292.28721818181816,1990-07-27
919,-8517793,50000000,Warner Bros.,USA,Joe Dante,Comedy,41482207,Gremlins 2: The New Batch,PG-13,6/15/1990,106,6.3,Zach Galligan,75271,Chris Columbus,1990,-17.035586000000002,1990-06-15
920,-2137646,11000000,Morgan Creek Productions,USA,Clive Barker,Action,8862354,Nightbreed,R,2/16/1990,102,6.5,Craig Sheffer,15692,Clive Barker,1990,-19.433145454545453,1990-02-16
921,4419397,31000000,Orion Pictures,USA,Richard Benjamin,Comedy,35419397,Mermaids,PG-13,12/14/1990,110,6.6,Cher,23765,Patty Dann,1990,14.256119354838702,1990-12-14
922,1635247,4200000,21st Century Film Corporation,USA,Tom Savini,Horror,5835247,Night of the Living Dead,R,10/19/1990,92,6.9,Tony Todd,33142,John A. Russo,1990,38.934452380952386,1990-10-19
923,12824573,3500000,Paramount Pictures,USA,John Harrison,Comedy,16324573,Tales from the Darkside: The Movie,R,5/4/1990,93,6.2,Debbie Harry,12090,Michael McDowell,1990,366.41637142857144,1990-05-04
925,21078196,3000000,Imperial Entertainment Corporation,USA,Sheldon Lettich,Action,24078196,Lionheart,R,1/11/1991,108,6.1,Jean-Claude Van Damme,27025,S.N. Warren,1990,702.6065333333333,1991-01-11
928,37410000,10000000,Warner Bros.,USA,Bruce Malmuth,Action,47410000,Hard to Kill,R,2/9/1990,96,5.7,Steven Seagal,23411,Steven McKay,1990,374.09999999999997,1990-02-09
933,1082891,10500000,Paramount Pictures,USA,Ralph S. Singleton,Horror,11582891,Graveyard Shift,R,10/26/1990,89,4.8,David Andrews,7613,Stephen King,1990,10.313247619047615,1990-10-26
935,-2068539,30000000,Silver Screen Partners IV,USA,Hendel Butoy,Animation,27931461,The Rescuers Down Under,G,11/16/1990,100,6.9,Bob Newhart,30141,Jim Cox,1990,-6.895130000000005,1990-11-16
936,24143410,20000000,Morgan Creek Productions,USA,Geoff Murphy,Action,44143410,Young Guns II,PG-13,8/1/1990,104,6.5,Emilio Estevez,25680,John Fusco,1990,120.71705000000001,1990-08-01
937,23886000,2500000,"Hudlin Brothers, The",USA,Reginald Hudlin,Comedy,26386000,House Party,R,3/9/1990,100,6.3,Christopher Reid,9303,Reginald Hudlin,1990,955.4399999999999,1990-03-09
940,-2740105,5200000,Lightning Pictures,USA,Mark L. Lester,Action,2459895,Class of 1999,R,5/11/1990,99,5.8,Bradley Gregg,5119,Mark L. Lester,1990,-52.694326923076915,1990-05-11
941,34044400,12000000,Victor & Grais,USA,Dwight H. Little,Action,46044400,Marked for Death,R,10/5/1990,93,5.9,Steven Seagal,16347,Michael Grais,1990,283.7033333333333,1990-10-05
942,-3946399,35000000,Carolco Pictures,USA,Roger Spottiswoode,Action,31053601,Air America,R,8/10/1990,113,5.7,Mel Gibson,23326,Christopher Robbins,1990,-11.275425714285713,1990-08-10
943,11633874,10000000,Warner Bros.,USA,Clint Eastwood,Action,21633874,The Rookie,R,12/7/1990,120,5.8,Clint Eastwood,21622,Boaz Yakin,1990,116.33874,1990-12-07
947,1413105,20000000,Path� Entertainment,Australia,Simon Wincer,Action,21413105,Quigley Down Under,PG-13,10/19/1990,119,6.8,Tom Selleck,16185,John Hill,1990,7.065524999999995,1990-10-19
948,11381956,18000000,Morgan Creek Productions,USA,John Schlesinger,Thriller,29381956,Pacific Heights,R,9/28/1990,102,6.4,Melanie Griffith,15129,Daniel Pyne,1990,63.2330888888889,1990-09-28
949,-31308808,47000000,Warner Bros.,USA,Brian De Palma,Comedy,15691192,The Bonfire of the Vanities,R,12/21/1990,125,5.5,Tom Hanks,18886,Michael Cristofer,1990,-66.61448510638299,1990-12-21
950,-18060054,25000000,Ironbark Films,USA,John Cornell,Comedy,6939946,Almost an Angel,PG,12/19/1990,95,5.4,Paul Hogan,3294,Paul Hogan,1990,-72.240216,1990-12-19
951,-10036793,12000000,Warner Bros.,Japan,Akira Kurosawa,Drama,1963207,Dreams,PG,8/24/1990,119,7.8,Akira Terao,19625,Akira Kurosawa,1990,-83.63994166666666,1990-08-24
952,4228953,1500000,Palace Pictures,UK,Richard Stanley,Sci-Fi,5728953,Hardware,R,9/14/1990,94,5.9,Dylan McDermott,10546,Steve MacManus,1990,281.9302,1990-09-14
955,4441977,23000000,Enigma Productions,UK,Michael Caton-Jones,Action,27441977,Memphis Belle,PG-13,10/12/1990,107,6.9,Matthew Modine,23909,Monte Merrick,1990,19.31294347826087,1990-10-12
956,-2651632,7000000,Vision PDG,USA,Craig R. Baxley,Action,4348368,Dark Angel,R,9/28/1990,91,6.0,Dolph Lundgren,8214,Jonathan Tydor,1990,-37.88045714285714,1990-09-28
958,50980000,20000000,Universal Pictures,USA,John Badham,Action,70980000,Bird on a Wire,PG-13,5/18/1990,110,5.9,Mel Gibson,33453,Louis Venosta,1990,254.9,1990-05-18
960,-15257088,18000000,Dino De Laurentiis Company,USA,Michael Cimino,Action,2742912,Desperate Hours,R,10/5/1990,105,5.4,Mickey Rourke,5702,Joseph Hayes,1990,-84.7616,1990-10-05
961,42818974,38000000,Paramount Pictures,USA,Walter Hill,Action,80818974,Another 48 Hrs.,R,6/8/1990,93,5.8,Eddie Murphy,32058,Roger Spottiswoode,1990,112.68151052631579,1990-06-08
964,15963281,22000000,Columbia Pictures Corporation,USA,Mike Nichols,Comedy,37963281,Postcards from the Edge,R,9/14/1990,101,6.7,Meryl Streep,12832,Carrie Fisher,1990,72.56036818181819,1990-09-14
965,260154,15000000,Devoted Productions,USA,Howard Franklin,Comedy,15260154,Quick Change,R,7/13/1990,89,6.8,Bill Murray,16870,Jay Cronley,1990,1.7343600000000015,1990-07-13
969,-8994031,19000000,88 Productions,USA,Jack Nicholson,Crime,10005969,The Two Jakes,R,8/10/1990,137,6.1,Jack Nicholson,9111,Robert Towne,1990,-47.33700526315789,1990-08-10
970,12853487,4000000,Cannon Films,Canada,Deran Sarafian,Action,16853487,Death Warrant,R,9/14/1990,89,5.6,Jean-Claude Van Damme,13783,David S. Goyer,1990,321.337175,1990-09-14
974,-2294932,2500000,Levins-Henenlotter,USA,Frank Henenlotter,Comedy,205068,Frankenhooker,R,6/1/1990,85,6.1,James Lorinz,6877,Robert Martin,1990,-91.79728,1990-06-01
977,-4620747,20000000,Laurence Mark Productions,USA,James Orr,Comedy,15379253,Mr. Destiny,PG-13,10/12/1990,110,6.3,Jim Belushi,10006,James Orr,1990,-23.103735000000004,1990-10-12
981,6153600,10000000,Universal Pictures,USA,Spike Lee,Drama,16153600,Mo' Better Blues,R,8/3/1990,129,6.6,Denzel Washington,8969,Spike Lee,1990,61.53599999999999,1990-08-03
983,-17179985,23000000,Metro-Goldwyn-Mayer (MGM),USA,Martin Ritt,Drama,5820015,Stanley & Iris,PG-13,2/9/1990,104,6.3,Jane Fonda,5877,Pat Barker,1990,-74.69558695652174,1990-02-09
984,-7239549,22000000,Nova International Films,USA,David Green,Action,14760451,Fire Birds,PG-13,5/25/1990,85,4.7,Nicolas Cage,5036,Step Tyner,1990,-32.90704090909091,1990-05-25
985,5626043,7000000,Epic Productions,USA,Curtis Hanson,Drama,12626043,Bad Influence,R,3/9/1990,99,6.2,Rob Lowe,6062,David Koepp,1990,80.37204285714286,1990-03-09
989,-22924916,25000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Adventure,2075084,The Sheltering Sky,R,12/12/1990,138,6.8,Debra Winger,9389,Paul Bowles,1990,-91.699664,1990-12-12
991,-30756860,40000000,Mirage Enterprises,USA,Sydney Pollack,Drama,9243140,Havana,R,12/14/1990,144,6.1,Robert Redford,6021,Judith Rascoe,1990,-76.89215,1990-12-14
998,-8650382,9000000,ADC Films,Italy,Dario Argento,Horror,349618,Two Evil Eyes,R,10/25/1991,120,6.1,Adrienne Barbeau,4726,Dario Argento,1990,-96.11535555555555,1991-10-25
999,-4668353,12000000,Orion Pictures,USA,Woody Allen,Comedy,7331647,Alice,PG-13,1/10/1991,106,6.6,Mia Farrow,11331,Woody Allen,1990,-38.90294166666667,1991-01-10
1002,-21680876,24000000,Malpaso Productions,USA,Clint Eastwood,Adventure,2319124,White Hunter Black Heart,PG,9/14/1990,112,6.7,Clint Eastwood,9279,Peter Viertel,1990,-90.33698333333334,1990-09-14
1004,2713208,225000,Westerly Films,USA,Whit Stillman,Comedy,2938208,Metropolitan,PG-13,8/3/1990,98,7.5,Carolyn Farina,7776,Whit Stillman,1990,1205.8702222222223,1990-08-03
1005,-343878,700000,Channel Four Films,UK,Hal Hartley,Comedy,356122,Trust,R,9/20/1991,107,7.5,Adrienne Shelly,7712,Hal Hartley,1990,-49.12542857142858,1991-09-20
1008,-372045,2000000,Concorde Pictures,USA,Adam Simon,Horror,1627955,Brain Dead,R,1/19/1990,85,6.1,Bill Pullman,2792,Charles Beaumont,1990,-18.602249999999998,1990-01-19
1018,12424195,10000000,Interscope Communications,USA,Robert Resnikoff,Crime,22424195,The First Power,R,4/6/1990,98,5.7,Lou Diamond Phillips,2847,Robert Resnikoff,1990,124.24195,1990-04-06
1020,12369573,3000000,Silver Screen Partners IV,USA,Patrick Read Johnson,Adventure,15369573,Spaced Invaders,PG,4/27/1990,100,5.3,Douglas Barr,2760,Patrick Read Johnson,1990,412.31910000000005,1990-04-27
1024,892995,350000,Concorde Pictures,USA,Sally Mattison,Comedy,1242995,Slumber Party Massacre III,R,9/7/1990,87,4.4,Keely Christian,1781,Catherine Cyran,1990,255.14142857142858,1990-09-07
1031,-9414846,15000000,TriStar Pictures,USA,Bob Clark,Action,5585154,Loose Cannons,R,2/9/1990,94,4.8,Gene Hackman,3785,Richard Christian Matheson,1990,-62.76564,1990-02-09
1044,-4467027,6500000,Vision PDG,USA,Tibor Tak�cs,Fantasy,2032973,Gate 2: The Trespassers,R,2/28/1992,90,4.7,Louis Tripp,1308,Michael Nankin,1990,-68.7234923076923,1992-02-28
1045,-11165252,11500000,The Mount Company,USA,Roger Corman,Drama,334748,Roger Corman's Frankenstein Unbound,R,11/2/1990,85,5.5,John Hurt,3088,Brian Aldiss,1990,-97.08914782608696,1990-11-02
1048,-4514228,5000000,Cinemarque Entertainment,USA,Michael Lehmann,Comedy,485772,Meet the Applegates,R,2/1/1991,90,5.4,Ed Begley Jr.,1819,Michael Lehmann,1990,-90.28456,1991-02-01
1053,-8850,242000,Park-Schilling Productions Inc.,USA,Michael Rissi,Fantasy,233150,Soultaker,R,10/26/1990,94,2.3,Joe Estevez,3359,Vivian Schilling,1990,-3.6570247933884303,1990-10-26
1064,-7653850,10000000,Twentieth Century Fox Film Corporation,USA,Richard Benjamin,Action,2346150,Downtown,R,1/12/1990,96,5.7,Anthony Edwards,1508,Nat Mauldin,1990,-76.5385,1990-01-12
1094,-41692225,42000000,Haruki Kadokawa Films,Japan,Haruki Kadokawa,Action,307775,Heaven and Earth,PG-13,2/8/1991,104,7.1,Takaaki Enoki,792,Haruki Kadokawa,1990,-99.26720238095238,1991-02-08
1100,111742922,19000000,Strong Heart/Demme Production,USA,Jonathan Demme,Crime,130742922,The Silence of the Lambs,R,2/14/1991,118,8.6,Jodie Foster,990212,Thomas Harris,1991,588.1206421052632,1991-02-14
1101,102843350,102000000,Carolco Pictures,USA,James Cameron,Action,204843350,Terminator 2: Judgment Day,R,7/3/1991,137,8.5,Arnold Schwarzenegger,813779,James Cameron,1991,100.82681372549018,1991-07-03
1102,193967620,25000000,Walt Disney Pictures,USA,Gary Trousdale,Animation,218967620,Beauty and the Beast,G,11/22/1991,84,8.0,Paige O'Hara,344844,Linda Woolverton,1991,775.87048,1991-11-22
1103,51004069,6500000,Columbia Pictures Corporation,USA,John Singleton,Crime,57504069,Boyz n the Hood,R,7/12/1991,112,7.8,Cuba Gooding Jr.,102317,John Singleton,1991,784.6779846153845,1991-07-12
1104,83502000,30000000,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,Comedy,113502000,The Addams Family,PG-13,11/22/1991,99,6.8,Anjelica Huston,104334,Charles Addams,1991,278.34,1991-11-22
1105,71418501,11000000,Universal Pictures,USA,Jon Avnet,Drama,82418501,Fried Green Tomatoes,PG-13,1/24/1992,130,7.7,Kathy Bates,55887,Fannie Flagg,1991,649.2591,1992-01-24
1106,49654823,70000000,Amblin Entertainment,USA,Steven Spielberg,Adventure,119654823,Hook,PG,12/11/1991,142,6.7,Dustin Hoffman,196513,J.M. Barrie,1991,70.93546142857143,1991-12-11
1107,19218387,24000000,Largo Entertainment,Japan,Kathryn Bigelow,Action,43218387,Punto de quiebra,R,7/12/1991,122,7.2,Patrick Swayze,124027,Rick King,1991,80.0766125,1991-07-12
1108,28861000,16500000,Path� Entertainment,USA,Ridley Scott,Adventure,45361000,Thelma & Louise,R,5/24/1991,130,7.4,Susan Sarandon,109801,Callie Khouri,1991,174.9151515151515,1991-05-24
1109,44100000,35000000,Amblin Entertainment,USA,Martin Scorsese,Crime,79100000,Cape Fear,R,11/15/1991,128,7.3,Robert De Niro,138370,John D. MacDonald,1991,125.99999999999997,1991-11-15
1110,42847242,17000000,Columbia Pictures Corporation,USA,Howard Zieff,Comedy,59847242,My Girl,PG-13,11/27/1991,102,6.8,Anna Chlumsky,60391,Laurice Elehwany,1991,252.0426,1991-11-27
1111,117500000,48000000,Warner Bros.,USA,Kevin Reynolds,Action,165500000,Robin Hood: Prince of Thieves,PG-13,6/14/1991,143,6.9,Kevin Costner,154125,Pen Densham,1991,244.79166666666666,1991-06-14
1113,1960255,13000000,Universal Pictures,UK,Jack Bender,Action,14960255,Child's Play 3,R,8/30/1991,90,5.0,Justin Whalin,27550,Don Mancini,1991,15.078884615384624,1991-08-30
1114,-8192146,11000000,Columbia Pictures Corporation,USA,William A. Graham,Adventure,2807854,Return to the Blue Lagoon,PG-13,8/2/1991,102,5.1,Brian Krause,15262,Henry De Vere Stacpoole,1991,-74.47405454545455,1991-08-02
1115,44888996,30000000,Paramount Pictures,USA,Nicholas Meyer,Action,74888996,Star Trek VI: The Undiscovered Country,PG,12/6/1991,113,7.2,William Shatner,59567,Gene Roddenberry,1991,149.62998666666664,1991-12-06
1116,30405498,40000000,Warner Bros.,France,Oliver Stone,Drama,70405498,JFK,R,12/20/1991,189,8.0,Kevin Costner,121533,Oliver Stone,1991,76.013745,1991-12-20
1117,-2846061,9000000,Circle Films,USA,Joel Coen,Comedy,6153939,Barton Fink,R,8/21/1991,116,7.7,John Turturro,96089,Joel Coen,1991,-31.622899999999998,1991-08-21
1118,11704056,35000000,Walt Disney Pictures,USA,Joe Johnston,Action,46704056,The Rocketeer,PG,6/21/1991,108,6.4,Billy Campbell,45621,Dave Stevens,1991,33.440160000000006,1991-06-21
1119,-13458459,16000000,Recorded Picture Company (RPC),Canada,David Cronenberg,Drama,2541541,Naked Lunch,R,4/24/1992,115,7.1,Peter Weller,39143,William S. Burroughs,1991,-84.11536875,1992-04-24
1121,43467617,26000000,Twentieth Century Fox Film Corporation,USA,Jim Abrahams,Action,69467617,Hot Shots!,PG-13,7/31/1991,84,6.7,Charlie Sheen,85058,Jim Abrahams,1991,167.1831423076923,1991-07-31
1122,-31520207,40000000,Applied Action,USA,Dan Aykroyd,Comedy,8479793,Nothing But Trouble,PG-13,2/15/1991,94,4.9,Chevy Chase,18672,Peter Aykroyd,1991,-78.8005175,1991-02-15
1124,10104700,15000000,Universal Pictures,USA,Brian Levant,Comedy,25104700,Problem Child 2,PG-13,7/3/1991,93,4.6,John Ritter,17894,Scott Alexander,1991,67.36466666666668,1991-07-03
1125,28710000,35000000,Touchstone Pictures,USA,Frank Oz,Comedy,63710000,What About Bob?,PG,5/17/1991,99,7.0,Bill Murray,53791,Alvin Sargent,1991,82.02857142857142,1991-05-17
1126,3901336,2500000,New Line Cinema,USA,Gus Van Sant,Drama,6401336,My Own Private Idaho,R,7/20/1991,104,7.1,River Phoenix,40101,Gus Van Sant,1991,156.05344,1991-07-20
1127,97033791,27000000,Castle Rock Entertainment,USA,Ron Underwood,Comedy,124033791,City Slickers,PG-13,6/7/1991,113,6.7,Billy Crystal,41443,Lowell Ganz,1991,359.38441111111115,1991-06-07
1128,-2816208,38000000,Bill Graham Films,USA,Oliver Stone,Biography,35183792,The Doors,R,3/1/1991,140,7.2,Val Kilmer,72491,Randall Jahnson,1991,-7.411073684210523,1991-03-01
