,duration,budget,gross,year,month,roi_outlier_ind
246,82,275000,34690,2016,1,False
247,120,280000,51955,2009,9,False
248,100,280000,461421,2014,2,False
249,93,300000,904,1992,1,False
250,91,300000,1474628,1996,4,False
251,90,300000,1989,1996,3,False
252,94,300000,42953,1997,8,False
254,90,300000,10133,2001,4,False
255,83,300000,355447,2000,12,False
257,95,300000,46852,2002,1,False
258,93,300000,34646,2002,6,False
259,109,300000,10514,2004,1,False
260,96,300000,2657,2005,5,False
261,89,300000,87264,2003,11,False
262,76,300000,301047,2006,1,False
263,105,300000,22978,2005,4,False
264,105,300000,102171,2006,1,False
265,103,300000,13407,2005,11,False
266,94,300000,112789,2019,1,False
267,85,300000,52307,2009,4,False
268,90,300000,3496,2014,3,False
269,88,300000,43073,2010,1,False
270,78,300000,34714,2009,6,False
271,97,300000,113,2011,10,False
272,84,300000,83322,2010,8,False
273,95,300000,228984,2011,5,False
274,88,300000,15747,2011,9,False
275,110,300000,942041,2011,11,False
277,100,300000,551,2017,11,False
278,94,300000,21527,2017,5,False
279,92,300000,3599,2016,7,False
280,77,300000,1619054,2014,9,False
281,102,312000,1350248,1999,3,False
282,81,320000,6083,2012,6,False
283,97,320000,567883,2015,9,False
284,90,325000,44999,2006,12,False
285,98,330000,762261,2010,9,False
286,93,335000,11146,2012,11,False
288,87,350000,1242995,1990,9,False
289,63,350000,9740,1998,5,False
290,97,350000,47370,2003,9,False
291,90,350000,50090,2009,4,False
292,90,350000,409604,2005,9,False
293,95,350000,10227,2006,1,False
294,90,350000,27542,2005,7,False
295,100,350000,40645,2011,6,False
296,67,350000,21525,2010,8,False
297,83,350000,226421,2019,5,False
298,98,350000,33370,2016,3,False
299,95,350000,2666,2016,3,False
300,108,350000,12564,2018,3,False
301,89,380000,1968,2011,10,False
302,77,389000,144652,2009,7,False
303,105,400000,152322,1991,12,False
304,119,400000,55500,2000,2,False
305,107,400000,100610,2005,6,False
307,95,400000,119195,2005,7,False
308,90,400000,2522787,2006,9,False
309,85,400000,224099,2006,8,False
310,93,400000,935,2005,6,False
311,78,400000,14251,2006,10,False
312,80,400000,7328,2008,10,False
313,100,400000,863863,2007,4,False
314,87,400000,75853,2007,1,False
315,92,400000,2339,2010,1,False
316,100,400000,35412,2011,1,False
317,101,400000,185086,2009,12,False
319,88,400000,1227140,2013,7,False
