,duration,budget,gross,year,month,roi_outlier_ind
1466,89,2500000,1116184,2011,1,False
1467,97,2500000,54110,2013,10,False
1468,102,2500000,31478,2011,9,False
1469,98,2500000,98280,2017,8,False
1470,98,2500000,8315,2012,8,False
1471,89,2500000,4806423,2012,9,False
1472,96,2500000,179154,2011,12,False
1473,101,2500000,5848,2012,12,False
1474,108,2500000,1021223,2013,11,False
1475,102,2500000,35271,2013,4,False
1477,117,2500000,56551,2016,9,False
1478,98,2500000,8785,2013,3,False
1479,104,2500000,57420,2017,1,False
1480,87,2500000,1498262,2013,8,False
1481,98,2500000,37166,2014,11,False
1482,105,2500000,8701745,2013,2,False
1483,123,2500000,1773671,2014,3,False
1484,87,2500000,71085,2015,10,False
1485,103,2500000,261757,2015,5,False
1487,110,2500000,5084473,2013,12,False
1488,99,2500000,5567103,2015,9,False
1489,128,2500000,52044,2014,12,False
1490,96,2500000,13228038,2014,10,False
1491,102,2500000,220483,2015,4,False
1492,92,2500000,2128497,2017,1,False
1493,92,2500000,165623,2018,6,False
1494,119,2500000,1151580,2017,2,False
1495,110,2500000,269622,2019,2,False
1496,91,2600000,2850263,1993,9,False
1497,94,2600000,52665,1996,1,False
1498,104,2600000,635680,1999,11,False
1499,92,2600000,553198,2007,6,False
1500,100,2600000,680299,2007,5,False
1501,111,2600000,879229,2006,8,False
1502,95,2600000,2867,2009,12,False
1503,97,2600000,6318409,2011,2,False
1504,95,2600000,544853,2013,12,False
1505,102,2600000,23896,2016,6,False
1506,100,2600000,1457685,2015,6,False
1507,95,2600000,147941,2018,4,False
1509,136,2671993,5988,2013,1,False
1510,93,2700000,3500000,1986,3,False
1511,106,2700000,1723319,1992,5,False
1512,113,2700000,9161691,1997,8,False
1513,80,2700000,15936507,2004,11,False
1514,110,2700000,1815805,2009,10,False
1515,99,2700000,332537,2014,1,False
1516,116,2700000,1384433,2015,6,False
1517,91,2700000,74700,2016,10,False
1518,119,2700000,3589633,2018,10,False
1519,91,2700000,1009888,2019,5,False
1520,116,2716583,268730,2007,6,False
1521,155,2763806,1459663,2004,10,False
1523,110,2800000,1544973,1989,10,False
1524,135,2800000,2313461,1994,12,False
1525,90,2800000,57100,1995,12,False
1526,131,2800000,1032034,2003,2,False
1528,86,2800000,472185,2006,9,False
1529,94,2800000,406362,2007,8,False
1530,90,2800000,9891729,2008,1,False
1531,82,2800000,1445506,2008,10,False
1532,125,2800000,3479481,2007,4,False
1533,109,2800000,3479709,2014,4,False
1535,103,2800000,8680109,2019,12,False
1536,87,2800000,3697729,2017,4,False
1537,110,2900000,5971073,1998,12,False
1538,84,2900000,296557,2009,1,False
1539,86,2900000,1048704,2012,5,False
1540,122,2900000,17618280,2016,2,False
1541,86,3000000,19472057,1986,8,False
1542,100,3000000,3221568,1987,4,False
1543,110,3000000,1984315,1988,4,False
1545,93,3000000,9868521,1987,7,False
1546,102,3000000,14182492,1987,3,False
1547,95,3000000,7888703,1987,11,False
1548,97,3000000,12090735,1988,5,False
1549,88,3000000,13030057,1988,2,False
1550,97,3000000,7282851,1988,8,False
1551,99,3000000,187349,1988,9,False
1552,90,3000000,76325,1989,11,False
1553,103,3000000,1163969,1989,3,False
1554,95,3000000,1738897,1989,8,False
1555,81,3000000,870532,1989,1,False
1556,96,3000000,4609953,1989,5,False
1557,100,3000000,15369573,1990,4,False
1558,129,3000000,1345015,1991,11,False
1559,89,3000000,9563393,1991,2,False
1560,104,3000000,242623,1992,8,False
1561,87,3000000,1152117,1993,5,False
1562,100,3000000,231826,1992,2,False
1563,86,3000000,690966,1992,3,False
1564,90,3000000,1829804,1992,5,False
1565,105,3000000,143010,1992,11,False
1566,105,3000000,390152,1992,9,False
1567,87,3000000,15935068,1993,8,False
1568,98,3000000,3902679,1993,9,False
1570,102,3000000,295493,1996,9,False
1571,117,3000000,4109095,1996,2,False
1572,95,3000000,3602884,1997,8,False
1574,102,3000000,222559,1996,6,False
1575,98,3000000,40361,2000,7,False
1576,95,3000000,14692,1998,4,False
1577,96,3000000,9639390,1998,11,False
1578,94,3000000,9017070,1999,5,False
1580,82,3000000,4775009,2000,6,False
1581,96,3000000,279225,2001,12,False
1582,96,3000000,302586,2003,7,False
1584,101,3000000,10031529,2001,11,False
1585,87,3000000,368976,2005,7,False
1586,92,3000000,1500,2001,10,False
1587,90,3000000,7777790,2002,3,False
1588,90,3000000,2598,2003,1,False
1589,76,3000000,15249308,2002,6,False
1590,119,3000000,59000,2003,3,False
1591,100,3000000,12551,2005,9,False
1592,109,3000000,59466,2003,9,False
1593,94,3000000,18637690,2005,10,False
1594,88,3000000,5923000,2004,7,False
1595,101,3000000,3361213,2004,4,False
1597,81,3000000,10012022,2003,10,False
1598,120,3000000,15002116,2003,5,False
1599,120,3000000,3719929,2003,4,False
1600,80,3000000,12155249,2005,9,False
1601,82,3000000,2462,2004,1,False
1602,101,3000000,12594630,2004,11,False
1603,107,3000000,26904,2004,9,False
1604,111,3000000,13954476,2003,1,False
1605,116,3000000,4443142,2003,3,False
1606,102,3000000,22282,2008,5,False
1607,114,3000000,166620,2006,1,False
1608,100,3000000,33699,2006,8,False
1609,115,3000000,3470651,2005,9,False
1610,97,3000000,274245,2005,1,False
1611,95,3000000,6900,2007,3,False
1612,98,3000000,818970,2006,9,False
1613,96,3000000,549495,2009,10,False
1614,94,3000000,9891303,2005,3,False
1615,107,3000000,32788,2006,8,False
1616,102,3000000,2797,2007,7,False
1617,85,3000000,60271,2007,4,False
1618,99,3000000,7403491,2006,7,False
1619,98,3000000,4243957,2009,6,False
1620,87,3000000,252726,2006,1,False
1621,105,3000000,532726,2007,3,False
1622,110,3000000,966242,2005,4,False
1623,111,3000000,6247539,2006,2,False
1624,110,3000000,1288484,2006,11,False
1625,108,3000000,2783535,2007,11,False
1626,92,3000000,645898,2007,4,False
1627,85,3000000,4545747,2007,12,False
1628,87,3000000,4313829,2010,6,False
1629,112,3000000,2157711,2007,1,False
1630,100,3000000,12543015,2007,3,False
1632,92,3000000,3982459,2008,5,False
1633,89,3000000,19137,2012,11,False
1634,110,3000000,5309137,2007,3,False
1635,115,3000000,12525709,2007,11,False
1636,97,3000000,23412,2008,7,False
1637,84,3000000,10172519,2009,5,False
1638,89,3000000,3093617,2008,2,False
1639,88,3000000,855185,2009,11,False
1640,96,3000000,5073,2009,1,False
1641,114,3000000,3757041,2008,2,False
1642,103,3000000,1948,2009,12,False
1643,117,3000000,1062941,2009,1,False
1644,86,3000000,4127246,2009,10,False
1645,91,3000000,155772,2009,10,False
1646,123,3000000,2404300,2009,7,False
1647,118,3000000,3953,2009,10,False
1648,102,3000000,1213704,2008,6,False
1649,100,3000000,500641,2009,7,False
1650,100,3000000,78948,2011,8,False
1651,93,3000000,46029,2010,2,False
1652,107,3000000,623442,2009,8,False
1653,125,3000000,9786297,2008,2,False
1654,108,3000000,2623907,2008,12,False
1655,88,3000000,159852,2009,4,False
1656,98,3000000,473528,2009,9,False
1657,123,3000000,96456,2010,10,False
1658,86,3000000,2587648,2009,11,False
1659,99,3000000,116801,2011,1,False
1660,100,3000000,19171562,2008,12,False
1661,99,3000000,5796679,2010,3,False
1662,110,3000000,3269546,2010,4,False
1663,95,3000000,19439764,2010,10,False
1664,114,3000000,6840,2010,9,False
1665,105,3000000,726533,2010,9,False
1666,112,3000000,145676,2011,4,False
1668,90,3000000,259185,2010,7,False
1669,88,3000000,3609003,2009,6,False
1670,90,3000000,921752,2012,2,False
1671,86,3000000,748453,2011,5,False
1672,94,3000000,186276,2011,10,False
1673,114,3000000,162288,2011,10,False
1674,100,3000000,1675381,2013,9,False
1675,103,3000000,279147,2011,3,False
1676,93,3000000,533235,2011,9,False
1677,102,3000000,152200,2013,9,False
1678,110,3000000,34904,2011,6,False
1679,121,3000000,27345,2010,10,False
1680,91,3000000,512315,2010,12,False
1681,83,3000000,4476578,2015,10,False
1682,93,3000000,223580,2012,1,False
1683,87,3000000,12128575,2012,10,False
1684,85,3000000,48985,2013,4,False
1687,108,3000000,1250686,2012,3,False
1688,84,3000000,466535,2013,10,False
1689,83,3000000,35535,2013,5,False
1690,91,3000000,62431,2013,2,False
1692,86,3000000,23627,2016,10,False
1693,114,3000000,1115,2015,9,False
1697,133,3000000,558636,2013,10,False
1698,97,3000000,422697,2014,9,False
1699,115,3000000,96277,2012,2,False
1700,87,3000000,23730,2014,2,False
1701,86,3000000,6224290,2013,7,False
1702,101,3000000,774780,2015,5,False
1703,115,3000000,245546,2015,6,False
1704,84,3000000,111952,2014,6,False
1705,90,3000000,61192,2014,11,False
1706,92,3000000,2077146,2013,6,False
1707,101,3000000,71103,2014,10,False
1708,102,3000000,17998703,2014,9,False
1710,102,3000000,1882074,2014,9,False
1711,88,3000000,4924990,2015,4,False
1712,109,3000000,6615264,2014,1,False
1713,104,3000000,421404,2016,12,False
1714,101,3000000,7353544,2016,3,False
1715,85,3000000,289299,2016,2,False
1716,80,3000000,248978,2015,12,False
1717,97,3000000,6892,2017,11,False
1718,123,3000000,1448076,2014,9,False
1719,135,3000000,861057,2015,1,False
1721,158,3000000,193040,2017,6,False
1722,97,3000000,4935501,2016,7,False
1723,141,3000000,898439,2015,6,False
1724,90,3000000,168738,2017,9,False
1725,97,3000000,3504414,2015,10,False
1726,85,3000000,115523,2014,11,False
1727,91,3000000,19572,2016,11,False
1728,83,3000000,8472,2018,3,False
1729,98,3000000,31634,2017,3,False
1730,100,3000000,7241302,2017,11,False
1731,83,3000000,9399067,2017,6,False
1732,99,3000000,8728,2019,6,False
1733,123,3000000,180706,2017,2,False
1734,120,3000000,2336032,2016,9,False
1735,90,3000000,493374,2017,6,False
1736,86,3000000,64760,2018,10,False
1737,98,3000000,1098207,2019,12,False
1738,85,3000000,15735317,2017,12,False
1739,145,3000000,374793,2019,8,False
1740,113,3000000,3601603,2017,12,False
1741,95,3000000,28645,2018,9,False
1742,115,3000000,2295825,2019,4,False
1743,110,3000000,11232,2018,12,False
1744,92,3000000,10691091,2020,2,False
1745,70,3019382,3247466,2011,10,False
1746,105,3100000,1327841,2013,9,False
1747,101,3200000,7266973,1994,7,False
1748,101,3200000,10464788,2003,1,False
1749,95,3200000,719135,2005,1,False
1750,105,3200000,14311701,2010,12,False
1751,101,3200000,1362018,2013,10,False
1752,103,3200000,5425148,2015,6,False
1753,112,3200000,18170707,2018,7,False
1754,107,3200000,5720804,2017,4,False
1755,88,3250000,973,2011,1,False
1756,93,3300000,4941117,1986,12,False
1757,107,3300000,3011195,1996,8,False
1758,99,3300000,127923,1997,4,False
1759,99,3300000,150000,2006,2,False
1760,105,3300000,2658588,2004,7,False
1761,91,3300000,12083296,2006,1,False
1763,97,3300000,50206,2014,5,False
1766,100,3300000,6292780,2020,2,False
1767,135,3330000,4814619,1992,12,False
1768,82,3400000,9832166,2000,3,False
1769,99,3400000,1508040,2005,11,False
1770,98,3400000,108187,2006,9,False
1771,88,3400000,12636,2008,10,False
1772,95,3400000,461932,2007,4,False
1773,97,3401376,3388020,1986,12,False
1774,92,3450000,611,2009,1,False
1775,92,3500000,14000000,1987,8,False
1776,126,3500000,2011497,1988,9,False
1777,86,3500000,4385516,1988,1,False
1778,93,3500000,16324573,1990,5,False
1779,129,3500000,2023808,1991,10,False
1781,96,3500000,16192320,1994,3,False
1782,114,3500000,8094616,1994,6,False
1784,96,3500000,9538948,1996,8,False
1786,95,3500000,102744,1999,5,False
1787,104,3500000,9871,1998,5,False
1788,87,3500000,3117085,1999,7,False
1789,124,3500000,299432,1999,5,False
1790,98,3500000,2841,2002,5,False
1791,105,3500000,894410,1998,4,False
1792,85,3500000,386927,2004,2,False
1794,103,3500000,254683,2002,9,False
1795,94,3500000,943625,2004,1,False
1796,92,3500000,3657876,2002,1,False
1797,91,3500000,97446,2004,3,False
1798,97,3500000,2254124,2005,7,False
1799,98,3500000,113783,2005,6,False
1800,98,3500000,206871,2005,11,False
1801,97,3500000,1138322,2008,7,False
1802,132,3500000,8120875,2005,3,False
1803,94,3500000,673844,2004,6,False
1804,100,3500000,8443998,2007,6,False
1805,94,3500000,138985,2007,10,False
1806,91,3500000,138490,2006,3,False
1807,104,3500000,563611,2006,5,False
1808,135,3500000,3004541,2006,2,False
1809,102,3500000,3119957,2007,10,False
1810,104,3500000,689473,2007,6,False
1811,121,3500000,4884108,2006,8,False
1812,125,3500000,3464124,2006,9,False
1813,90,3500000,958691,2011,9,False
1814,90,3500000,579717,2006,6,False
1815,91,3500000,36756,2009,11,False
1816,90,3500000,13229,2008,7,False
1817,124,3500000,8324700,2007,10,False
1819,107,3500000,1415232,2008,2,False
1820,95,3500000,5218174,2008,3,False
1821,101,3500000,44462,2009,5,False
1822,90,3500000,169466,2009,4,False
1823,96,3500000,552981,2009,2,False
1824,129,3500000,10308238,2011,9,False
1825,84,3500000,11482165,2009,3,False
1826,93,3500000,318275,2010,12,False
1827,107,3500000,19504039,2011,5,False
1828,90,3500000,313387,2012,8,False
1829,117,3500000,103432,2010,4,False
1830,94,3500000,517069,2011,11,False
1831,140,3500000,89525,2011,11,False
1832,117,3500000,1203727,2007,3,False
1834,94,3500000,292092,2014,2,False
1836,105,3500000,182695,2016,1,False
1837,83,3500000,8196,2016,3,False
1838,170,3500000,695436,2014,7,False
1839,110,3500000,15565,2015,3,False
1840,100,3500000,615816,2015,3,False
1841,108,3500000,16376066,2018,1,False
1842,95,3500000,291766,2014,8,False
1843,119,3500000,890303,2016,12,False
1844,76,3500000,4462034,2016,7,False
1845,78,3500000,56711,2016,10,False
1846,90,3500000,1204393,2018,10,False
1847,74,3500000,6448,2017,8,False
1849,101,3520000,562187,1987,8,False
1850,108,3598902,3729856,2018,7,False
1851,84,3600000,5923044,1987,9,False
1853,94,3600000,43805,2000,9,False
1854,96,3600000,121825,2005,5,False
1855,98,3600000,79436,2007,10,False
1856,109,3600000,43712,2010,11,False
1857,111,3600000,9365,2010,6,False
1858,73,3600000,2220689,2013,5,False
1859,114,3600000,1541490,2017,1,False
1860,110,3600000,3868,2019,12,False
1861,90,3600000,112357,2017,6,False
1862,90,3610000,954696,2018,10,False
1863,177,3650000,279078,2018,5,False
1864,89,3700000,516962,1988,11,False
1866,87,3700000,1145404,1988,5,False
1867,93,3700000,3492,2009,9,False
1868,103,3700000,240632,2003,12,False
1869,85,3700000,3419456,2006,6,False
1870,96,3700000,1811984,2009,1,False
1871,93,3700000,724591,2013,5,False
1872,100,3700000,38004,2017,5,False
1873,100,3700000,85193,2016,3,False
1874,102,3750000,131961,2007,1,False
1875,89,3800000,20949601,1996,1,False
1876,110,3800000,16290,2002,8,False
1877,99,3800000,346851,2009,3,False
1878,102,3800000,806638,2006,9,False
1879,121,3800000,2725258,2007,9,False
1880,85,3800000,111731,2009,6,False
1881,115,3800000,15843274,2012,11,False
1882,88,3800000,1138609,2016,8,False
1883,105,3800000,847307,2017,2,False
1884,97,3800000,538091,2016,8,False
1885,90,3900000,961203,2009,10,False
1886,89,3900000,36145,2011,11,False
1887,112,3900000,14249906,2007,4,False
1888,104,4000000,4679650,1986,6,False
1889,112,4000000,2850707,1986,6,False
1890,87,4000000,800000,1987,4,False
1891,91,4000000,743445,1987,12,False
1892,124,4000000,1267578,1988,9,False
1893,80,4000000,9797098,1988,8,False
1894,97,4000000,16262415,1988,4,False
1895,102,4000000,345704,1987,12,False
1896,110,4000000,3468572,1988,4,False
1897,94,4000000,13008928,1988,4,False
1898,93,4000000,43671,1989,11,False
1899,94,4000000,283694,1989,10,False
1900,92,4000000,6985999,1989,8,False
1901,88,4000000,192816,1989,5,False
1902,89,4000000,16853487,1990,9,False
1903,97,4000000,2070871,1990,2,False
1904,89,4000000,259012,1991,3,False
1905,114,4000000,11276846,1991,5,False
1906,98,4000000,1373196,1992,9,False
1907,171,4000000,5985074,1993,1,False
1908,94,4000000,5377643,1992,12,False
1909,105,4000000,253986,1994,3,False
1910,112,4000000,259724,1995,4,False
1911,98,4000000,4257354,1995,4,False
1912,90,4000000,389503,1995,5,False
1913,85,4000000,9336886,1996,7,False
1914,84,4000000,2923982,1996,1,False
1915,87,4000000,21361,1997,8,False
1916,101,4000000,318809,1997,10,False
1917,100,4000000,2143,1998,9,False
1918,106,4000000,164022,1999,11,False
1919,86,4000000,187152,1999,1,False
1920,101,4000000,6718,2001,6,False
1921,131,4000000,28149,2000,1,False
1922,94,4000000,2924635,1999,9,False
1923,100,4000000,4224065,2000,2,False
1924,216,4000000,4279351,2000,10,False
1925,117,4000000,158811,2001,1,False
1926,93,4000000,74926,2001,8,False
1927,96,4000000,397969,2002,6,False
1928,99,4000000,563711,2002,2,False
1929,107,4000000,9304609,2002,4,False
1931,110,4000000,11832822,2002,3,False
1932,96,4000000,826617,2003,5,False
1933,129,4000000,2046061,2002,3,False
1934,100,4000000,412868,2002,3,False
1935,96,4000000,2138742,2005,10,False
1936,113,4000000,9832663,2002,3,False
1937,111,4000000,1873482,2002,11,False
1939,143,4000000,2487338,2002,1,False
1940,95,4000000,73788,2004,1,False
1941,101,4000000,866999,2005,3,False
1942,111,4000000,291118,2004,7,False
1943,208,4000000,18520000,2005,2,False
1944,92,4000000,345041,2005,1,False
1945,92,4000000,162717,2004,6,False
1946,76,4000000,1732414,2004,12,False
1948,91,4000000,10639686,2006,1,False
1949,191,4000000,7726507,2005,4,False
1950,105,4000000,15778152,2005,10,False
1952,89,4000000,15680099,2006,3,False
1953,105,4000000,1175579,2007,9,False
1954,88,4000000,1146422,2009,10,False
1955,96,4000000,655968,2006,11,False
1956,102,4000000,8095658,2006,5,False
1957,110,4000000,40100,2009,3,False
1958,110,4000000,550782,2007,12,False
1959,159,4000000,7537453,2007,6,False
1960,103,4000000,126897,2007,2,False
1961,91,4000000,90272,2007,6,False
1962,102,4000000,241963,2007,11,False
1963,99,4000000,16100,2008,4,False
1964,104,4000000,350329,2008,10,False
1965,93,4000000,3748295,2007,7,False
1966,173,4000000,8002973,2007,6,False
1967,96,4000000,45659,2013,2,False
1969,104,4000000,18197518,2007,12,False
1970,115,4000000,14759148,2007,6,False
1971,88,4000000,1874460,2011,9,False
1972,93,4000000,12767,2008,4,False
1973,145,4000000,2265733,2007,4,False
1974,119,4000000,355345,2007,9,False
1975,90,4000000,95,2008,4,False
1976,100,4000000,919445,2007,12,False
1977,117,4000000,2218136,2007,12,False
1978,89,4000000,179836,2009,6,False
1979,103,4000000,2415999,2010,12,False
1981,97,4000000,37887,2013,2,False
1982,90,4000000,43476,2009,9,False
1983,90,4000000,143485,2010,7,False
1984,90,4000000,386078,2009,5,False
1985,95,4000000,724885,2015,6,False
1986,114,4000000,11227336,2008,1,False
1987,107,4000000,690700,2009,5,False
1988,103,4000000,1079949,2009,8,False
1989,100,4000000,284818,2010,1,False
1990,101,4000000,187089,2010,6,False
1991,99,4000000,442550,2011,9,False
1992,88,4000000,1207592,2010,10,False
1993,103,4000000,325185,2009,11,False
1994,90,4000000,164720,2010,10,False
1995,114,4000000,189995,2011,4,False
1996,106,4000000,595802,2010,4,False
1997,113,4000000,9783637,2010,8,False
1998,94,4000000,220884,2010,12,False
1999,85,4000000,24022125,2010,1,False
2000,105,4000000,342202,2011,10,False
2001,100,4000000,1838858,2010,6,False
2002,100,4000000,10131455,2011,3,False
2003,140,4000000,12571431,2010,12,False
2004,98,4000000,27741,2017,11,False
2005,100,4000000,1784156,2009,11,False
2006,119,4000000,659937,2011,12,False
2007,97,4000000,106919,2012,10,False
2008,90,4000000,120283,2009,5,False
2009,98,4000000,37470,2012,6,False
2010,92,4000000,1806548,2013,10,False
2011,92,4000000,10898293,2016,5,False
2012,93,4000000,826913,2014,4,False
2013,97,4000000,801983,2013,12,False
2014,83,4000000,103118,2013,7,False
2015,106,4000000,779835,2014,5,False
2016,74,4000000,145613,2013,7,False
2017,117,4000000,2431443,2013,10,False
2018,99,4000000,9221,2013,5,False
2019,104,4000000,438165,2014,4,False
2020,94,4000000,111486,2014,2,False
2021,90,4000000,45769,2014,9,False
2022,77,4000000,63946,2013,6,False
2023,110,4000000,1421842,2013,5,False
2024,126,4000000,14701,2014,1,False
2025,86,4000000,25358716,2014,5,False
2026,120,4000000,5104868,2013,8,False
2027,97,4000000,2595622,2014,7,False
2028,120,4000000,4459303,2013,11,False
2030,108,4000000,9645549,2014,5,False
2031,90,4000000,5173335,2014,4,False
2032,97,4000000,231719,2017,6,False
2033,87,4000000,24416,2017,7,False
2034,119,4000000,1708631,2014,4,False
2036,118,4000000,13608637,2015,1,False
2038,90,4000000,4758401,2017,6,False
2039,96,4000000,9515914,2018,4,False
2040,103,4000000,11702016,2016,7,False
2041,111,4000000,2264162,2019,1,False
2043,102,4000000,22386555,2019,9,False
2044,75,4000000,13816357,2017,1,False
2045,89,4000000,105271,2018,11,False
2046,92,4000000,143837,2019,3,False
2047,85,4000000,80749,2018,7,False
2049,97,4000000,413732,2019,3,False
2050,109,4100000,12008376,1996,3,False
2051,92,4200000,5835247,1990,10,False
2052,96,4200000,320319,1997,9,False
2055,111,4200000,42840,2006,12,False
2056,99,4200000,63521,2007,10,False
2057,94,4200000,97182,2007,10,False
2058,83,4200000,11136265,2009,12,False
2059,135,4200000,2454414,2010,12,False
2060,90,4200000,27840,2010,5,False
2061,93,4210000,12000,1986,2,False
2062,102,4250000,3877004,2008,1,False
2063,111,4250000,3979536,2017,2,False
2064,86,4275000,190819,2012,3,False
2065,94,4300000,1922023,2006,9,False
2066,100,4300000,1065656,2009,8,False
2067,95,4300000,2848165,2009,10,False
2068,163,4340000,1597269,2011,1,False
2070,105,4400000,4931175,2004,7,False
2071,120,4400000,32182,2014,1,False
2072,119,4400000,3400203,2015,10,False
2073,130,4400000,9323484,2016,1,False
2074,85,4500000,1261000,1986,10,False
2075,122,4500000,1500000,1986,1,False
2077,92,4500000,406881,1987,11,False
2078,86,4500000,3813293,1988,4,False
2079,109,4500000,3802260,1996,9,False
2080,136,4500000,13417292,1996,12,False
2081,122,4500000,623983,1997,10,False
2082,104,4500000,23261485,1998,8,False
2083,101,4500000,1036818,1998,1,False
2084,102,4500000,7390108,2000,12,False
2085,93,4500000,1248746,2000,8,False
2086,106,4500000,6582065,2001,6,False
2087,114,4500000,958989,2000,12,False
2088,104,4500000,3706652,2001,3,False
2089,114,4500000,39707,2004,4,False
2090,65,4500000,3620000,2006,3,False
2091,98,4500000,807162,2009,4,False
2092,104,4500000,2425535,2009,8,False
2093,106,4500000,11764129,2007,2,False
2094,93,4500000,1798418,2007,1,False
2095,119,4500000,9004,2012,1,False
2096,97,4500000,13567,2009,3,False
2098,87,4500000,7006849,2008,1,False
2099,93,4500000,156510,2009,8,False
2100,90,4500000,708152,2009,7,False
2101,93,4500000,796346,2009,1,False
2102,110,4500000,502475,2009,11,False
2103,97,4500000,3858231,2010,10,False
2104,98,4500000,1035474,2010,10,False
2105,95,4500000,191019,2010,5,False
2106,105,4500000,5017653,2010,4,False
2107,120,4500000,1830863,2010,6,False
2108,80,4500000,688009,2013,12,False
2109,120,4500000,7917683,2012,11,False
2110,86,4500000,298688,2013,2,False
2111,150,4500000,6566916,2014,4,False
2112,103,4500000,267476,2014,11,False
2113,83,4500000,3906308,2013,1,False
2114,99,4500000,587782,2019,6,False
2115,102,4500000,3283369,2017,10,False
2117,115,4500000,4227648,2016,1,False
2119,97,4600000,1432799,2007,6,False
2120,91,4600000,993591,2008,10,False
2121,105,4600000,74586,2009,11,False
2122,90,4600000,1084126,2009,6,False
2123,117,4600000,1477582,2010,6,False
2124,170,4600000,3073989,2015,8,False
2125,107,4600000,6382550,2017,9,False
2126,101,4700000,8025872,1986,2,False
2127,113,4700000,1705139,1988,4,False
2128,140,4700000,10371998,2006,6,False
2129,101,4700000,384659,2008,4,False
2130,96,4700000,11700000,2020,7,False
2131,137,4770000,365672,2011,2,False
2132,99,4800000,3718087,1996,9,False
2134,90,4800000,10639242,2013,5,False
2137,97,4900000,10421847,2018,6,False
2138,116,4997987,3414301,1995,12,False
2139,89,5000000,12947763,1986,3,False
2140,88,5000000,591366,1986,6,False
2141,88,5000000,6075793,1987,8,False
2142,99,5000000,6880310,1987,11,False
2143,94,5000000,3369307,1987,8,False
2144,104,5000000,3569939,1988,7,False
2145,97,5000000,1119112,1987,6,False
2146,110,5000000,858250,1987,9,False
2147,93,5000000,807947,1987,8,False
2148,86,5000000,3588626,1988,5,False
2149,88,5000000,17768757,1988,10,False
2150,155,5000000,13826605,1988,11,False
2151,91,5000000,429028,1988,7,False
2152,97,5000000,1700000,1989,11,False
2153,100,5000000,117463,1989,12,False
2154,83,5000000,8153677,1989,8,False
2155,107,5000000,1919653,1989,11,False
2156,100,5000000,14343976,1989,7,False
2157,96,5000000,11642254,1989,10,False
2158,98,5000000,6957975,1989,7,False
2159,109,5000000,16554699,1989,10,False
2160,90,5000000,95836,1989,5,False
2161,97,5000000,6157157,1989,7,False
2162,90,5000000,485772,1990,2,False
2163,94,5000000,19438638,1991,10,False
2164,103,5000000,1055987,1992,7,False
2165,108,5000000,1526697,1992,3,False
2166,97,5000000,12534961,1992,4,False
2167,95,5000000,20146880,1992,1,False
2168,139,5000000,1862805,1992,2,False
2169,101,5000000,4058564,1992,11,False
2170,97,5000000,2970,1993,6,False
2171,95,5000000,1702394,1994,1,False
2172,109,5000000,3291163,1994,6,False
2173,99,5000000,3049135,1994,3,False
2174,87,5000000,15116634,1995,8,False
2175,98,5000000,3565508,1995,4,False
2176,116,5000000,660313,1996,12,False
2177,92,5000000,2420162,1996,9,False
2178,135,5000000,12408986,1996,5,False
2179,134,5000000,588621,1996,10,False
2180,89,5000000,19868354,1997,6,False
2181,122,5000000,386673,1997,9,False
2182,100,5000000,4714658,1998,2,False
2183,96,5000000,222099,1998,3,False
2184,106,5000000,1740156,1997,9,False
2185,90,5000000,15738769,1997,8,False
2186,105,5000000,5881367,1997,11,False
2187,91,5000000,5502773,1998,6,False
2188,116,5000000,2087471,1998,1,False
2189,141,5000000,135280,1999,1,False
2190,95,5000000,19260537,2001,9,False
2191,77,5000000,19440089,1999,6,False
2192,125,5000000,135892,1999,2,False
2193,108,5000000,2554,2000,5,False
2194,99,5000000,14960,2000,2,False
2195,97,5000000,1431406,2000,4,False
2196,95,5000000,5480653,2001,8,False
2197,97,5000000,295206,2001,4,False
2198,112,5000000,2381183,2001,9,False
2199,116,5000000,36992,2001,8,False
2200,118,5000000,892,2002,9,False
2202,108,5000000,621592,2001,2,False
2203,112,5000000,501442,2001,9,False
2204,102,5000000,329217,2002,9,False
2206,101,5000000,171339,2006,11,False
2207,82,5000000,16643191,2000,10,False
2210,101,5000000,167572,2002,5,False
2211,95,5000000,16670,2004,10,False
2212,105,5000000,2040138,2001,9,False
2213,135,5000000,23932055,2002,4,False
2214,123,5000000,1086121,2002,7,False
2215,104,5000000,6691287,2002,11,False
2216,98,5000000,782606,2003,4,False
2217,121,5000000,1589942,2002,6,False
2218,92,5000000,15027,2003,3,False
2219,92,5000000,10275509,2004,6,False
2220,105,5000000,5175215,2003,6,False
2221,104,5000000,2466444,2003,2,False
2222,95,5000000,347298,2004,2,False
2223,99,5000000,202737,2003,3,False
2224,129,5000000,7372769,2002,11,False
2225,98,5000000,264505,2004,2,False
2226,95,5000000,84733,2004,2,False
2227,101,5000000,8203235,2004,11,False
2228,128,5000000,1384395,2004,9,False
2229,127,5000000,20839049,2004,11,False
2230,88,5000000,225385,2007,6,False
2231,107,5000000,659589,2006,5,False
2232,80,5000000,130051,2005,9,False
2233,93,5000000,208101,2006,7,False
2234,93,5000000,160487,2007,9,False
2235,88,5000000,648183,2006,2,False
2236,97,5000000,26986174,2006,9,False
2237,99,5000000,130416,2006,1,False
2238,115,5000000,6410058,2005,3,False
2239,85,5000000,85076,2008,6,False
2240,101,5000000,97522,2006,9,False
2241,115,5000000,403475,2005,9,False
